08 21 09:17:17.376 DEBUG 63124 aella::com::binlog:45         : match_binlog_command::com: COM_QUERY
08 21 09:17:17.376 DEBUG 63124 sqlparser::parser:443         : Parsing sql 'SELECT UNIX_TIMESTAMP()'...
08 21 09:17:17.376 DEBUG 63124 sqlparser::parser:1232        : parsing expr
08 21 09:17:17.377 DEBUG 63124 sqlparser::parser:1237        : prefix: Function(Function { name: ObjectName([Identifier(Ident { value: "UNIX_TIMESTAMP", quote_style: None, span: Span(Location(1,8)..Location(1,22)) })]), uses_odbc_syntax: false, parameters: None, args: List(FunctionArgumentList { duplicate_treatment: None, args: [], clauses: [] }), filter: None, null_treatment: None, over: None, within_group: [] })
08 21 09:17:17.377 DEBUG 63124 sqlparser::dialect:645        : get_next_precedence_full() TokenWithSpan { token: EOF, span: Span(Location(0,0)..Location(0,0)) }
08 21 09:17:17.377 DEBUG 63124 sqlparser::parser:1240        : next precedence: 0
08 21 09:17:17.378 TRACE 63124 aella::mysqld:349             : net_write::src: b"\x01\0\0\x01\x01"
08 21 09:17:17.378 TRACE 63124 aella::mysqld:350             : net_write::src:vec: [1, 0, 0, 1, 1]
08 21 09:17:17.379 TRACE 63124 aella::mysqld:349             : net_write::src: b"$\0\0\x02\x03def\0\0\0\x0eunix_timestamp\0\x0c\x08\0\0\0\0\0\xfe\x80\0\0\0\0"
08 21 09:17:17.379 TRACE 63124 aella::mysqld:350             : net_write::src:vec: [36, 0, 0, 2, 3, 100, 101, 102, 0, 0, 0, 14, 117, 110, 105, 120, 95, 116, 105, 109, 101, 115, 116, 97, 109, 112, 0, 12, 8, 0, 0, 0, 0, 0, 254, 128, 0, 0, 0, 0]
08 21 09:17:17.379 TRACE 63124 aella::mysqld:349             : net_write::src: b"\x05\0\0\x03\xfe\0\0\x02\0"
08 21 09:17:17.380 TRACE 63124 aella::mysqld:350             : net_write::src:vec: [5, 0, 0, 3, 254, 0, 0, 2, 0]
08 21 09:17:17.380 TRACE 63124 aella::mysqld:349             : net_write::src: b"\x0b\0\0\x04\n1755739037"
08 21 09:17:17.381 TRACE 63124 aella::mysqld:350             : net_write::src:vec: [11, 0, 0, 4, 10, 49, 55, 53, 53, 55, 51, 57, 48, 51, 55]
08 21 09:17:17.381 TRACE 63124 aella::mysqld:349             : net_write::src: b"\x05\0\0\x05\xfe\0\0\x02\0"
08 21 09:17:17.381 TRACE 63124 aella::mysqld:350             : net_write::src:vec: [5, 0, 0, 5, 254, 0, 0, 2, 0]
08 21 09:17:17.382 DEBUG 63124 aella::mysqld:209             : socket::readable...CommandPhase
08 21 09:17:17.382 DEBUG 63124 aella::mysqld:209             : socket::readable...CommandPhase
08 21 09:17:17.382 TRACE 63124 aella::mysqld:369             : net_read::buf:[32, 0, 0, 0, 3, 83, 72, 79, 87, 32, 86, 65, 82, 73, 65, 66, 76, 69, 83, 32, 76, 73, 75, 69, 32, 39, 83, 69, 82, 86, 69, 82, 95, 73, 68, 39]
08 21 09:17:17.383 DEBUG 63124 aella::com::binlog:45         : match_binlog_command::com: COM_QUERY
08 21 09:17:17.383 DEBUG 63124 sqlparser::parser:443         : Parsing sql 'SHOW VARIABLES LIKE 'SERVER_ID''...
08 21 09:17:17.383 DEBUG 63124 aella::com::query:313         : show::v: SERVER_ID
08 21 09:17:17.383 TRACE 63124 aella::mysqld:349             : net_write::src: b"\x01\0\0\x01\x02"
08 21 09:17:17.384 TRACE 63124 aella::mysqld:350             : net_write::src:vec: [1, 0, 0, 1, 2]
08 21 09:17:17.384 TRACE 63124 aella::mysqld:349             : net_write::src: b"#\0\0\x02\x03def\0\0\0\rVariable_name\0\x0c\x08\0\0\0\0\0\xfe\x80\0\0\0\0"
08 21 09:17:17.385 TRACE 63124 aella::mysqld:350             : net_write::src:vec: [35, 0, 0, 2, 3, 100, 101, 102, 0, 0, 0, 13, 86, 97, 114, 105, 97, 98, 108, 101, 95, 110, 97, 109, 101, 0, 12, 8, 0, 0, 0, 0, 0, 254, 128, 0, 0, 0, 0]
08 21 09:17:17.385 TRACE 63124 aella::mysqld:349             : net_write::src: b"\x1b\0\0\x03\x03def\0\0\0\x05Value\0\x0c\x08\0\0\0\0\0\xfe\x80\0\0\0\0"
08 21 09:17:17.386 TRACE 63124 aella::mysqld:350             : net_write::src:vec: [27, 0, 0, 3, 3, 100, 101, 102, 0, 0, 0, 5, 86, 97, 108, 117, 101, 0, 12, 8, 0, 0, 0, 0, 0, 254, 128, 0, 0, 0, 0]
08 21 09:17:17.386 TRACE 63124 aella::mysqld:349             : net_write::src: b"\x05\0\0\x04\xfe\0\0\x02\0"
08 21 09:17:17.386 TRACE 63124 aella::mysqld:350             : net_write::src:vec: [5, 0, 0, 4, 254, 0, 0, 2, 0]
08 21 09:17:17.387 TRACE 63124 aella::mysqld:349             : net_write::src: b"\x0c\0\0\x05\tserver_id\x011"
08 21 09:17:17.387 TRACE 63124 aella::mysqld:350             : net_write::src:vec: [12, 0, 0, 5, 9, 115, 101, 114, 118, 101, 114, 95, 105, 100, 1, 49]
08 21 09:17:17.387 TRACE 63124 aella::mysqld:349             : net_write::src: b"\x05\0\0\x06\xfe\0\0\x02\0"
08 21 09:17:17.387 TRACE 63124 aella::mysqld:350             : net_write::src:vec: [5, 0, 0, 6, 254, 0, 0, 2, 0]
08 21 09:17:17.388 DEBUG 63124 aella::mysqld:209             : socket::readable...CommandPhase
08 21 09:17:17.388 DEBUG 63124 aella::mysqld:209             : socket::readable...CommandPhase
08 21 09:17:17.389 TRACE 63124 aella::mysqld:369             : net_read::buf:[42, 0, 0, 0, 3, 83, 69, 84, 32, 64, 109, 97, 115, 116, 101, 114, 95, 104, 101, 97, 114, 116, 98, 101, 97, 116, 95, 112, 101, 114, 105, 111, 100, 61, 32, 51, 48, 48, 48, 48, 48, 48, 49, 48, 50, 52]
08 21 09:17:17.389 DEBUG 63124 aella::com::binlog:45         : match_binlog_command::com: COM_QUERY
08 21 09:17:17.389 DEBUG 63124 sqlparser::parser:443         : Parsing sql 'SET @master_heartbeat_period= 30000001024'...
08 21 09:17:17.389 DEBUG 63124 sqlparser::parser:1232        : parsing expr
08 21 09:17:17.390 DEBUG 63124 sqlparser::parser:1237        : prefix: Value(ValueWithSpan { value: Number("30000001024", false), span: Span(Location(1,31)..Location(1,42)) })
08 21 09:17:17.390 DEBUG 63124 sqlparser::dialect:645        : get_next_precedence_full() TokenWithSpan { token: EOF, span: Span(Location(0,0)..Location(0,0)) }
08 21 09:17:17.390 DEBUG 63124 sqlparser::parser:1240        : next precedence: 0
